,principal component 1,principal component 2,class
199,2.7284005965065905,-1.7144519695299838,excellent
200,2.6732712667626264,-1.7333181231706598,excellent
201,2.687468849519069,-1.7526568846003643,excellent
202,2.714527176608459,-1.7104670977179524,excellent
203,2.692873367520319,-1.7029862323933707,excellent
204,2.6501077107324025,-1.8319626602860863,excellent
205,2.725759370127097,-1.7251984613185298,excellent
206,2.6787046646585333,-1.8559471837082344,excellent
207,2.7162637069886326,-1.6612652799393919,excellent
208,2.673328464198224,-1.8575094658452254,excellent
209,2.7264469725140335,-1.67343394318735,excellent
210,2.721140967709371,-1.6174146231968551,excellent
211,2.6939061659639973,-1.656995552481093,excellent
212,2.7042483177894123,-1.606834309296224,excellent
213,2.717483392464838,-1.6224044464392093,excellent
214,2.733069530755754,-1.6263147318252689,excellent
215,2.7255295056066173,-1.6184570696914227,excellent
216,2.789538325229884,-1.4927108578254753,excellent
217,3.1872121555873787,-0.7252373315779187,excellent
218,3.1355556274021676,-0.6619898680423527,excellent
219,2.6047335334627544,-1.6905504565874243,excellent
220,2.5336109722067857,-1.8731217453733249,excellent
221,2.519544943928322,-1.9214811254200475,excellent
222,2.518023871219444,-1.9315932393098982,excellent
223,2.523226291580119,-1.9768107708470974,excellent
224,2.4347452848205458,-2.103685125225212,excellent
225,2.479334781695576,-1.9501802041921443,excellent
226,2.515366177967341,-1.927306278090198,excellent
227,2.4799047957055147,-1.971962565765787,excellent
228,2.451781259921325,-1.9566546207074684,excellent
229,2.4784304626579754,-1.91634498047771,excellent
230,2.5418837594958044,-2.028668615550589,excellent
231,2.499037712188066,-1.945585773896411,excellent
232,2.3991082715546477,-2.100978921677531,excellent
233,2.398780138092061,-2.1154218928055193,excellent
234,2.4977954203915504,-1.9446900244126577,excellent
235,2.4824035452226445,-1.8899002099675892,excellent
236,2.495971140942724,-1.897930142888013,excellent
237,2.5505672688321708,-1.8509527278382196,excellent
238,2.5348412990829963,-1.763589316503018,excellent
239,2.509410501351508,-1.8577644169539118,excellent
240,2.521348224805154,-1.757058272779095,excellent
241,2.4937179634109827,-1.8490978364304378,excellent
242,2.482272626721456,-1.8989793991921124,excellent
243,2.4755471709604517,-1.9013795145837895,excellent
244,2.5382923543202383,-1.729967374308778,excellent
245,2.4971051210704527,-1.7544532532418504,excellent
246,2.481663533898323,-1.7582019737683117,excellent
247,2.3193175652659552,-2.113423578703902,excellent
248,2.3059769007307547,-2.165736730296056,excellent
249,2.306896697394925,-2.121058733731299,excellent
250,2.3316057603773017,-2.028581657293442,excellent
251,2.3139771019835895,-2.1250276415662537,excellent
252,2.429336419316742,-1.8874969503093473,excellent
253,2.413195207878498,-1.8220677688390272,excellent
254,2.3864459390379285,-1.8778508846294408,excellent
255,2.4102158148274744,-1.8832858608866623,excellent
256,2.435765230239649,-1.8456932279176659,excellent
257,2.4598317875288824,-1.7051221084244423,excellent
258,2.4492604986600197,-1.6959701140842907,excellent
259,2.4523871059355082,-1.7446584995681447,excellent
260,2.4536124084878663,-1.6990237485329842,excellent
261,2.4367505902014663,-1.6943463717131901,excellent
262,2.4476480899568496,-1.6955160599446653,excellent
263,2.428129134559544,-1.69584455409955,excellent
264,2.434646739589226,-1.6964936483231152,excellent
265,2.469358101632072,-1.6068359646715535,excellent
266,2.4231978876843643,-1.6411779118889747,excellent
267,2.2773753552187195,-1.9720502416492427,excellent
268,2.299532023900038,-1.8669679348321493,excellent
269,2.288296221856855,-1.9738108592359018,excellent
270,2.367951757075653,-1.7452995008712364,excellent
271,2.310545233962311,-1.8702163382843167,excellent
272,2.299465190104781,-1.865002171114594,excellent
273,2.305243992772644,-1.8786395378155745,excellent
274,2.3067968175402385,-1.8198009438022638,excellent
275,2.3358314985416944,-1.7198028761813526,excellent
276,2.1445197477608584,-2.145761700120242,excellent
277,2.139163052979213,-2.130671372521883,excellent
278,2.138874068864439,-2.067177197320839,excellent
279,2.163668833174935,-2.06967253151672,excellent
280,2.1776241340348244,-1.9830601153278566,excellent
281,2.1854061972790113,-2.1028896034199236,excellent
282,2.2209996742168245,-2.011571736465818,excellent
283,2.2158145147881747,-1.9567557299576777,excellent
